Year,Winner,Runner-up,Score
1930,Uruguay,Argentina,4-2
1934,Italy,Czechoslovakia,2-1 (a.e.t.)
1938,Italy,Hungary,4-2
1950,Uruguay,Brazil,2-1
1954,Germany,Hungary,3-2
1958,Brazil,Sweden,5-2
1962,Brazil,Czechoslovakia,3-1
1966,England,Germany,4-2 (a.e.t.)
1970,Brazil,Italy,4-1
1974,Germany,Netherlands,2-1
1978,Argentina,Netherlands,3-1 (a.e.t.)
1982,Italy,Germany,3-1
1986,Argentina,Germany,3-2
1990,Germany,Argentina,1-0
1994,Brazil,Italy,0-0 (a.e.t.) (3-2 p)
1998,France,Brazil,3-0
2002,Brazil,Germany,2-0
2006,Italy,France,1-1 (a.e.t.) (5-3 p)
2010,Spain,Netherlands,1-0 (a.e.t.)
2014,Germany,Argentina,1-0 (a.e.t.)
2018,France,Croatia,4-2
2022,Argentina,France,3-3 (a.e.t.) (4-2 p)
